index,timestep,plant,storage_start,storage_end
310,t0001,n4742_electricity/solar battery,0.0,0.0
311,t0001,n4743_electricity/solar battery,0.0,0.0
312,t0001,n4744_electricity/solar battery,0.0,0.0
313,t0001,n4745_electricity/solar battery,0.0,0.0
314,t0001,n4746_electricity/solar battery,0.0,0.0
315,t0001,n4747_electricity/solar battery,0.0,0.0
316,t0001,n4748_electricity/solar battery,0.0,0.0
317,t0001,n4749_electricity/solar battery,0.0,0.0
318,t0001,n4750_electricity/solar battery,0.0,0.0
319,t0001,n4751_electricity/solar battery,0.0,0.0
320,t0001,n4752_electricity/solar battery,0.0,0.0
321,t0001,n4753_electricity/solar battery,0.0,0.0
322,t0001,n4754_electricity/solar battery,0.0,0.0
323,t0001,n4755_electricity/solar battery,0.0,0.0
324,t0001,n4756_electricity/solar battery,0.0,0.0
325,t0001,n4757_electricity/solar battery,0.0,0.0
326,t0001,n4758_electricity/solar battery,0.0,0.0
327,t0001,n4759_electricity/solar battery,0.0,0.0
328,t0001,n4760_electricity/solar battery,0.0,0.0
329,t0001,n4761_electricity/solar battery,0.0,0.0
330,t0001,n4762_electricity/solar battery,0.0,0.0
331,t0001,n4763_electricity/solar battery,0.0,0.0
332,t0001,n4764_electricity/solar battery,0.0,0.0
333,t0001,n4765_electricity/solar battery,0.0,0.0
334,t0001,n4766_electricity/solar battery,0.0,0.0
335,t0001,n4767_electricity/solar battery,0.0,0.0
336,t0001,n4768_electricity/solar battery,0.0,0.0
337,t0001,n4769_electricity/solar battery,0.0,0.0
338,t0001,n4770_electricity/solar battery,0.0,0.0
339,t0001,n4771_electricity/solar battery,0.0,0.0
340,t0001,n4772_electricity/solar battery,0.0,0.0
341,t0001,n4773_electricity/solar battery,0.0,0.0
342,t0001,n4774_electricity/solar battery,0.0,0.0
343,t0001,n4775_electricity/solar battery,0.0,0.0
344,t0001,n4776_electricity/solar battery,0.0,0.0
345,t0001,n4777_electricity/solar battery,0.0,0.0
346,t0001,n4778_electricity/solar battery,0.0,0.0
347,t0001,n4779_electricity/solar battery,0.0,0.0
348,t0001,n4780_electricity/solar battery,0.0,0.0
349,t0001,n4781_electricity/solar battery,0.0,0.0
350,t0001,n4782_electricity/solar battery,0.0,0.0
351,t0001,n4783_electricity/solar battery,0.0,0.0
352,t0001,n4784_electricity/solar battery,0.0,0.0
353,t0001,n4785_electricity/solar battery,0.0,0.0
354,t0001,n4786_electricity/solar battery,0.0,0.0
355,t0001,n4787_electricity/solar battery,0.0,0.0
356,t0001,n4788_electricity/solar battery,0.0,0.0
357,t0001,n4789_electricity/solar battery,0.0,0.0
358,t0001,n4790_electricity/solar battery,0.0,0.0
359,t0001,n4791_electricity/solar battery,0.0,0.0
360,t0001,n4844_electricity/solar battery,0.0,0.0
361,t0001,n4845_electricity/solar battery,0.0,0.0
362,t0001,n4846_electricity/solar battery,0.0,0.0
363,t0001,n4847_electricity/solar battery,0.0,0.0
364,t0001,n4848_electricity/solar battery,0.0,0.0
365,t0001,n4852_electricity/solar battery,0.0,0.0
366,t0001,n4854_electricity/solar battery,0.0,0.0
367,t0001,n4855_electricity/solar battery,0.0,0.0
368,t0001,n5534_electricity/solar battery,0.0,0.0
369,t0001,n5535_electricity/solar battery,0.0,0.0
370,t0001,n5536_electricity/solar battery,0.0,0.0
371,t0001,n5537_electricity/solar battery,0.0,0.0
372,t0001,n5538_electricity/solar battery,0.0,0.0
373,t0001,n5539_electricity/solar battery,0.0,0.0
374,t0001,n5540_electricity/solar battery,0.0,0.0
375,t0001,n5541_electricity/solar battery,0.0,0.0
376,t0001,n5542_electricity/solar battery,0.0,0.0
377,t0001,n5543_electricity/solar battery,0.0,0.0
378,t0001,n5544_electricity/solar battery,0.0,0.0
379,t0001,n5545_electricity/solar battery,0.0,0.0
380,t0001,n5546_electricity/solar battery,0.0,0.0
381,t0001,n5547_electricity/solar battery,0.0,0.0
382,t0001,n5549_electricity/solar battery,0.0,0.0
383,t0001,n5550_electricity/solar battery,0.0,0.0
384,t0001,n5551_electricity/solar battery,0.0,0.0
385,t0001,n5552_electricity/solar battery,0.0,0.0
386,t0001,n5553_electricity/solar battery,0.0,0.0
387,t0001,n5554_electricity/solar battery,0.0,0.0
388,t0001,n5555_electricity/solar battery,0.0,0.0
389,t0001,n5556_electricity/solar battery,0.0,0.0
390,t0001,n5591_electricity/solar battery,0.0,0.0
391,t0001,n5592_electricity/solar battery,0.0,0.0
392,t0001,n5596_electricity/solar battery,0.0,0.0
393,t0001,n5597_electricity/solar battery,0.0,0.0
394,t0001,n5598_electricity/solar battery,0.0,0.0
395,t0001,n5599_electricity/solar battery,0.0,0.0
396,t0001,n5643_electricity/solar battery,0.0,0.0
397,t0001,n5644_electricity/solar battery,0.0,0.0
398,t0001,n5645_electricity/solar battery,0.0,0.0
399,t0001,n5646_electricity/solar battery,0.0,0.0
