index,node,mc_el,mc_heat,g_max,h_max,d_max,eta,availability,plant_type,heatarea,storage_capacity
p439,n4521,117.44903421341988,0,79.49138296898533,0.0,0.0,0.3696000000000001,1,conventional,,
p440,n4725,91.17531230536748,0,131.46651798716806,0.0,0.0,0.506149999999999,1,conventional,,
p441,n7890,98.97821464231583,0,13.897094924647783,0.0,0.0,0.4564499999999993,1,conventional,,
p442,n3319,99.62770454619148,0,9.311053599514016,0.0,0.0,0.4528999999999987,1,conventional,,
p443,n3319,99.82770454619148,0,9.311053599514016,0.0,0.0,0.4528999999999987,1,conventional,,
p444,n4623,98.48160661677036,0,814.7866754320996,480.0,0.0,0.4599999999999991,1,conventional,,
p445,n4691,112.4957582008731,0,36.132446804084246,0.0,0.0,0.3894000000000002,1,conventional,,
p446,n4527,101.63873676749604,0,365.4935965182368,455.0,0.0,0.4422499999999987,1,conventional,,
p447,n4664,113.1309541415978,0,55.58837969859114,0.0,0.0,0.3872,1,conventional,,
p448,n4664,95.36089624400864,0,325.1920212367582,167.0,0.0,0.4777499999999985,1,conventional,,
p449,n4627,110.36239329143794,0,19.4559328945069,0.0,0.0,0.3971,1,conventional,,
p450,n4627,123.58244368772584,0,4.030157528147858,0.0,0.0,0.3487,1,conventional,,
p451,n4633,98.6244637596275,0,138.97094924647786,75.0,0.0,0.4599999999999991,1,conventional,,
p452,n4633,118.97780516891513,0,89.91420416247118,0.0,0.0,0.3676999999999992,1,conventional,,
p453,n4633,119.22780516891513,0,92.69362314740074,0.0,0.0,0.3676999999999992,1,conventional,,
p454,n4633,120.9213581882692,0,407.18488129218014,140.0,0.0,0.3586,1,conventional,,
p455,n4654,130.49796577956062,0,116.7355973670414,0.0,0.0,0.3278000000000003,1,conventional,,
p456,n4664,110.09928706494222,0,23.486090422654755,0.0,0.0,0.3982000000000001,1,conventional,,
p457,n4633,89.63543029587217,0,826.8771480165433,0.0,0.0,0.516799999999999,1,conventional,,
p458,n3476,121.25469152160257,0,5.558837969859114,0.0,0.0,0.3586,1,conventional,,
p459,n4496,115.69397785464268,0,64.76046234885868,0.0,0.0,0.3772999999999999,1,conventional,,
p460,n7672,116.027311187976,0,30.712579783471607,0.0,0.0,0.3772999999999999,1,conventional,,
p461,n8051,115.1532173308984,0,446.09674708119394,0.0,0.0,0.381899999999999,1,conventional,,
p462,n4757,111.16053117404772,0,79.21344107049238,0.0,0.0,0.3938000000000001,1,conventional,,
p463,n5651,120.07146731168392,0,72.26489360816849,0.0,0.0,0.3641499999999986,1,conventional,,
p465,n4518,114.49148811765627,0,15.286804417112563,0.0,0.0,0.3806000000000002,1,conventional,,
p466,n4518,98.76732090248464,0,106.31277617355556,0.0,0.0,0.4599999999999991,1,conventional,,
p467,n4518,90.3215349052582,0,45.30452945435179,0.0,0.0,0.5096999999999987,1,conventional,,
p468,n4654,113.35579041688308,0,14.17503682314074,0.0,0.0,0.3850000000000002,1,conventional,,
p469,n4765,95.43781932093172,0,30.01772503723922,0.0,0.0,0.4777499999999985,1,conventional,,
p470,n4765,90.65486823859152,0,9.311053599514016,0.0,0.0,0.5096999999999987,1,conventional,,
p473,n5695,109.0612395483855,0,104.2282119348584,0.0,0.0,0.4026,1,conventional,,
p474,n4782,95.51474239785476,0,97.2796644725345,0.0,0.0,0.4777499999999985,1,conventional,,
p475,n4782,102.5530010025051,0,137.58123975401307,150.0,0.0,0.438699999999999,1,conventional,,
p476,n4782,120.162376402593,0,77.8237315780276,0.0,0.0,0.3641499999999986,1,conventional,,
p477,n7641,110.12334474524344,0,18.622107199028036,0.0,0.0,0.3993000000000002,1,conventional,,
p478,n3455,100.02770454619149,0,83.5215404971332,0.0,0.0,0.4528999999999987,1,conventional,,
p479,n3455,113.07591049917114,0,37.52215629654902,0.0,0.0,0.3861000000000003,1,conventional,,
p480,n4715,116.24513897914436,0,36.4103887025772,0.0,0.0,0.3740000000000001,1,conventional,,
p481,n4715,110.43262039827556,0,11.117675939718229,0.0,0.0,0.3982000000000001,1,conventional,,
p482,n7907,114.65815478432296,0,102.83850244239362,0.0,0.0,0.3806000000000002,1,conventional,,
p483,n4762,113.9203757681296,0,26.12653845833784,0.0,0.0,0.3828,1,conventional,,
p484,n5552,101.20771650951112,0,20.428729539232243,0.0,0.0,0.4457999999999993,1,conventional,,
p485,n7273,112.7457582008731,0,55.58837969859114,0.0,0.0,0.3894000000000002,1,conventional,,
p486,n4734,120.26548636700026,0,864.3993043130923,0.0,0.0,0.3597000000000001,1,conventional,,
p487,n4746,115.2120984513138,0,30.57360883422513,0.0,0.0,0.3784,1,conventional,,
